id,clause_type,src_legal,tgt_plain,notes
162,LIABILITY_CAP,"EXCEPT FOR LIABILITY ARISING FROM SECTION 9.3 [Intellectual Property Infringement], IN NO EVENT SHALL EITHER PARTY BE LIABLE UNDER THIS AGREEMENT FOR AN AMOUNT GREATER THAN THE AMOUNT THAT SUCH PARTY HAS EARNED PURSUANT TO THE REVENUE SHARING PROVISIONS OF SECTION 5.4 [Share of Net Revenue] IN THE TWELVE MONTH PERIOD PRECEDING THE CLAIM.', 'EXCEPT FOR LIABILITY ARISING FROM SECTION 9.3 [Intellectual Property Infringement], IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY INDIRECT, SPECIAL, INCIDENTAL, PUNITIVE OR CONSEQUENTIAL DAMAGES, LOSSES, OR EXPENSES INCLUDING, BUT NOT LIMITED TO, LOSS OF USE, LOSS OF PROFITS, OR LOSS OF GOODWILL, EVEN IF THAT PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH LOSS OR DAMAGE.",,
163,LICENSE_GRANT,"PlanetCAD hereby grants to Dassault Systemes a fully-paid, non-exclusive, worldwide, revocable limited license to the Server Software and Infrastructure for the sole purpose of (i) hosting the Co-Branded Service and (ii) fulfilling its<omitted>obligations under this Agreement.', 'On or before the Launch Date, each party shall grant the other party a non-exclusive, non-transferable, revocable right to use their approved Marks, for the sole purpose of advertising, marketing, promotion and sale of the Co-Branded Service.",,
164,GOVERNING_LAW,"This Agreement will be governed and construed in accordance with the laws of the State of New York without giving effect to conflict of laws principles. Both parties submit to personal jurisdiction in New York and further agree that any cause of action arising under this Agreement shall be brought in a court in New York City, NY.",,
165,ANTI_ASSIGNMENT,"[""Neither party may assign its rights or delegate its duties hereunder (except to an affiliated company, or to a successor in interest in the event of a merger, sale of assets of the business to which this Agreement is related, or consolidation) without the other party's prior written consent, and any purported attempt to do so is null and void.""]",,
166,LIABILITY_CAP,"EXCEPT IN THE EVENT OF A CLAIM UNDER SECTION 10 OR FAILURE TO PAY UNDER SECTION 6, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE<omitted>OTHER PARTY IN AN AMOUNT GREATER THAN THE AMOUNT BOXLOT ACTUALLY PAYS TO THEGLOBE HEREUNDER.', 'NEITHER PARTY SHALL BE LIABLE FOR LOST PROFITS OR SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES (HOWEVER ARISING, INCLUDING<omitted>NEGLIGENCE) ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, EVEN IF THE PARTIES ARE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.",,
167,GOVERNING_LAW,"This Agreement and all acts and transactions pursuant ------------- hereto and the rights and obligations of the parties hereto shall be governed, construed and interpreted in accordance with the laws of the State of California, without giving effect to principles of conflicts of law.",,
168,ANTI_ASSIGNMENT,"Each party shall have the right to assign its rights,<omitted>obligations and privileges hereunder to an assignee in connection with any merger, acquisition or sale of all or substantially all of the business to which this Agreement relates.",,
169,TERMINATION,"[""Chase may revoke Affiliate's license at any time."", 'Either Affiliate or Chase may terminate this Agreement at any time, with or without cause, by giving the other party written or e-mail notice of termination.']",,
170,LIABILITY_CAP,"[""Further, Chase's aggregate liability arising under or with respect to this Agreement or the Affiliate Program shall in no event exceed the total Commissions paid or payable by Chase to Affiliate under this Agreement."", 'Chase shall have no liability for any indirect, incidental, special or consequential damages or any loss of revenue or profits arising under or with respect to this Agreement or the Affiliate Program, regardless of whether Chase has been advised of the possibility of such damages.']",,
171,LICENSE_GRANT,"Chase grants Affiliate a non-exclusive, nontransferable, revocable right to (a) access the Chase site through the links solely in accordance with the terms of this Agreement and (b) solely in connection with such links, to use Chase\'s logos, trade names, trademarks, and similar identifying material relating to Chase (collectively, the ""Licensed Materials""), for the sole purpose of booking Chase products.",,
172,GOVERNING_LAW,This Agreement shall be binding on the Parties as of the date hereof and is to be construed in accordance with and governed by the internal laws of the State of Delaware without giving effect to any choice of law rule that would cause the application of the laws of any jurisdiction other than the internal laws of the State of Delaware to the rights and duties of the Parties.,,
173,ANTI_ASSIGNMENT,"['Any attempted assignment in violation of this section shall be void.', 'This Agreement shall not be assignable by either party unless the assignee expressly assumes in writing the obligations of the assignor hereunder.', ""Network Affiliate may not assign or transfer, by operation of law or otherwise, any of its rights under this Agreement or delegate any of its duties under this Agreement to any third party without NCM's prior written consent, which consent shall not be unreasonably withheld, conditioned or delayed.""]",,
174,LIABILITY_CAP,"No action, case, suit or proceeding, regardless of form, arising out of or related to this Agreement, may be brought by either party more than one (1) year after the cause of action has arisen, or in the case of nonpayment, more than two (2) years from the date of the last payment.",,
175,TERMINATION,"Either party may cancel this Agreement at any time, with or without supplying a reason, through written notification or by making suitable settings in the respective Control Panel.', 'The Software Publisher and element 5 are authorized to revoke the license granted to the Affiliate at any time by written notice.",,
176,LICENSE_GRANT,"Upon activation of the Affiliate, the Software Publisher grants the Affiliate a non-exclusive, revocable right to use provided advertising material, notices and all further presentations (insofar as available - also known hereafter as ""Material"") only for the purpose of designating its Web site as a ""partner Web site"" and presenting the designated advertising Material.",,
177,LIABILITY_CAP,"IN NO EVENT WILL EQUIDATA BE LIABLE FOR ANY INDIRECT, EXEMPLARY, PUNITIVE, SPECIAL, OR CONSEQUENTIAL DAMAGES INCLUDING WITHOUT LIMITATION LOST PROFITS OR OTHER ECONOMIC LOSS, LOST REIMBURSEMENTS, AND LOST DATA, OR FOR ANY CLAIM BY ANY THIRD PARTY.",,
178,TERMINATION,This Agreement shall become effective on the Effective Date and shall continue in effect until either Party informs the other Party with thirty (30) day prior written notice of termination of this Agreement.,,
179,GOVERNING_LAW,"The obligations of Affiliate and Network under this Agreement are subject to all applicable federal, state and local laws, rules and regulations, and this Agreement and all matters or issues collateral thereto shall be governed by the laws of the State of New York applicable to contracts to be entirely performed therein.",,
180,TERMINATION,"[""Network retains the right at all times during the Term to discontinue its distribution of the Service in its entirety and to terminate this Agreement and all other affiliates' agreements on at least ninety (90) days' prior notice without any liability therefor to Affiliate, other than amounts payable hereunder which accrued prior to such termination, including amounts payable pursuant to Section 6(b) and Exhibit D.""]",,
181,ANTI_ASSIGNMENT,"[""This Agreement shall be binding on the respective transferees and successors of the parties hereto, except that neither this Agreement nor either party's rights or obligations hereunder shall be assigned or transferred by either party without the prior written consent of the other party.""]",,
182,LIABILITY_CAP,"NOTWITHSTANDING ANY OTHER PROVISION IN THIS AGREEMENT TO THE CONTRARY, NEITHER PARTY SHALL BE LIABLE TO THE OTHER PARTY FOR INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR SPECIAL DAMAGES (INCLUDING LOSS OF PROFITS OF REVENUES, OR DAMAGES TO OR LOSS OF PERSONAL PROPERTY) IN ANY CAUSE OF ACTION ARISING OUT OF, RELATED TO, OR IN CONNECTION WITH A DEFAULT UNDER OR A BREACH OF THIS AGREEMENT.",,
183,GOVERNING_LAW,"All disputes or claims by Payment Data Systems hereunder shall be resolved by arbitration in McLean, Virginia, pursuant to the rules of the American Arbitration Association.', 'All disputes or claims by NETWORK 1 hereunder shall be resolved by arbitration in San Antonio, Texas, pursuant to the rules of the American Arbitration Association.",,
184,TERMINATION,"[""Theismann shall have the right to terminate this Agreement at any time upon thirty (30) days' written notice to Bizzingo, such termination to become effective at the conclusion of such 30-day period.""]",,
185,ANTI_ASSIGNMENT,Neither party may assign this Agreement or the rights and obligations thereunder to any third party without the prior express written approval of the other party which shall not be unreasonably withheld.,,
186,LICENSE_GRANT,"Auriemma grants to Berkshire the exclusive right and license (the ""License Rights"") to use the Auriemma Identification during the Contract Period and throughout the Contract Territory solely in connection with the advertisement and promotion of Berkshire and the Financial Services",,
187,ANTI_ASSIGNMENT,"Company will not sublicense pass-through or otherwise grant to any third parties the rights granted to Company hereunder without the NFLA prior written consent, including but not limited to the right to use the Licensed Marks.",,
188,LIABILITY_CAP,"[""Notwithstanding anything to the contrary in this Agreement, if Company incurs any expenses, damages or other liabilities (including but not limited to reasonable attorney's fees) in connection with the performance or nonperformance of any term or provision of this Agreement, NFLA's liability to Company shall not exceed the remuneration, excluding reimbursement of expenses, actually paid to NFLA by Company"", 'In no event will NFLA be liable for any indirect, incidental, reliance, special or consequential damages arising out of the performance or nonperformance of this Agreement, whether or not NFLA had been advised of the possibility of such damages.']",,
189,LICENSE_GRANT,"The NFLA agrees to license such rights to the Company.', 'Company acknowledges that this Agreement does not grant Company any rights with respect to any other NFLA Marks (defined below), the name, likeness, signature, or other attributes of any NFLA member or other individual, or any audio or video of any NFLA event.', 'In consideration of the remuneration to be paid to the NFLA-NC pursuant to this Agreement, the NFLA grants to Company and to its authorized distributors and sublicenses the right and license during the Contract Period to use the NFLA Identification solely in connection with the advertisement, marketing and promotion of the Products within the Contract Territory as set forth in this Agreement.",,
190,LICENSE_GRANT,"Subject to the terms and conditions and in consideration of the payments set forth herein and in the Primary Agreement, CSA as disclosed agent for Talent grants to Company from the Commencement Date the right and license during the Term of this Agreement in the Territory to use the ""Property"" in connection with the advertisement, promotion, and sale of the Property Training Course and the Product as well as the right to use such Property on the Product and related packaging.",,
191,ANTI_ASSIGNMENT,"Neither party will assign any of its rights or obligations under this Agreement without the prior written consent of the other party, such consent not to be unreasonably, conditioned, withheld or delayed.",,
192,LICENSE_GRANT,"Individual grants Lifeway together with its affiliates, subsidiaries, parent companies and their representatives and employees have an unlimited, perpetual, non-exclusive, worldwide and, except as set forth in Section 9, royalty-free, right to use, reuse, publish, reproduce, perform, copy, create derivative works, exhibit, broadcast, and display throughout the world the name, image and likeness of Individual in Marketing Materials (as defined below) in connection with marketing, advertising or otherwise promoting the Lifeway products and/or services and for historical reference and display purposes and other internal purposes, including without limitation, internal sales meetings.",,
193,GOVERNING_LAW,"The Agreement shall be governed by and construed under the laws of the State of Florida in the United States of America, and venue for any such legal action shall be in the Circuit Court or County Court in Orlando, FL or the U.S. District Court having jurisdiction over Orlando, FL.",,
194,LICENSE_GRANT,"Subject to the terms set forth in this Agreement, North hereby grants to Company the right and privilege to use North\'s Likeness and North\'s Endorsement during the Term and within the Contract Territory in all reasonable forms of advertising including, but not limited to television (including the infomercial format), radio, print advertising, brochures, pamphlets, product packaging, point-of-purchase materials, Company\'s web-site and a demonstration video (hereinafter referred to as ""Advertising Materials"") in connection with Company\'s advertisement and sale of the Endorsed Product only.",,
195,GOVERNING_LAW,"Regardless of the place of execution hereof, this Agreement, all amendments hereto, and any and all issues or controversies arising here from or related hereto, shall be governed by and construed exclusively in accordance with the laws and decisions of the State of Georgia.",,
196,LICENSE_GRANT,"During the Term and subject to the limitations set forth in Paragraphs 9 and 10, HDS shall have the right to use the name, image, likeness, characterization, visual and audio representation of Celebrity (""Celebrity Attributes"") in connection with HDS\' product, Clotamin, in the Territory as follows: A. In a television commercial (specific spot length to be mutually agreed upon) promoting Clotamin (""Commercial"") aired specifically in the following three (3) television markets: (1) Washington, DC Metro Area; (2) Florida; and (3) Texas (collectively ""Markets""); B. On HDS\' website (www.clotamin.corn) (""Website""); and C. In Clotamin-related press releases.",,
197,GOVERNING_LAW,"This Agreement sets forth the entire Agreement of the parties hereto, and any and all prior agreements, to the extent inconsistent herewith, are hereby superseded. This Agreement will be governed by the laws of the State of Pennsylvania.",,
198,TERMINATION,"[""This Agreement may be terminated at any time while the Employee is living by written notice thereof by either the Employer or the Employee to the other; and, in any event, this Agreement will terminate upon termination of the Employee's employment.""]",,
199,GOVERNING_LAW,"This Agreement shall be construed in accordance with the laws of the State of New York applicable to contracts formed and to be performed entirely within the State of New York, without regard to conflict of laws principles, and in accordance with the applicable provisions of the Investment Fund Act.",,
200,GOVERNING_LAW,"This Agreement shall be governed by and construed in accordance with the internal laws of the State of California applicable to agreements made and to be performed entirely within such state, without regard to the conflicts of law principles of such state; provided that any matters relating to the construction or effect of any Patent will be governed by the patent laws of the relevant jurisdiction in which such Patent is granted.",,
201,TERMINATION,"[""Aimmune may terminate this Agreement in its entirety at any time for its convenience upon sixty (60) days' prior written notice to Xencor."", 'Without limitation of its rights under this ARTICLE 13, Xencor may also terminate this Agreement in its entirety as applicable, pursuant to the provisions of Section 9.7.']",,
202,ANTI_ASSIGNMENT,"The Developer may not, without the written consent of the Client, assign, subcontract, or delegate its obligations under this Agreement, except that the Developer may transfer the right to receive any amounts that may be payable to it for its Services under this Agreement, which transfer will be effective only after receipt by the Client of written notice of such assignment or transfer.",,
203,LICENSE_GRANT,"If the Client, in its reasonable discretion, consents, the Client is hereby granted an exclusive, worldwide, royalty-free, perpetual, irrevocable license to use, distribute, modify, publish, and otherwise exploit the incorporated items in connection with the work product developed for the Client.",,
204,TERMINATION,"[""Licensee may terminate this Agreement for convenience upon eighteen (18) months' advance written notice to Bioeq; provided, however, that any such termination for convenience shall not become effective prior to twelve (12) months after the First Commercial Sale of the first Licensed Product.""]",,
205,LIABILITY_CAP,"Except for a breach of Section 11 (""Confidentiality""), and without limiting a Party\'s indemnification obligations hereunder, in no event shall either Party be liable to the other Party in any manner for any special, non- compensatory, consequential, indirect, incidental, statutory or punitive damages of any kind, including lost profits and lost revenue, regardless of the form of action, whether in contract, tort, product liability or otherwise, even if informed of or aware of the possibility of any such damages in advance, except to the extent that such limitation of liability is contrary to the Applicable Law or any such special, non-compensatory, consequential, indirect, incidental, statutory or punitive damages have been awarded to a Third Party under a Third Party Claim.",,
206,GOVERNING_LAW,"[""This Agreement, after review by Developer and El Pollo Loco, was accepted in the state in which Franchisor's then-current headquarters (currently the State of California) is located and shall be governed by and construed in accordance with the laws of such state, except that the provisions in Section 20.1 covering competition following the expiration, termination or assignment of this Agreement shall be governed by the laws of the state in which the breach occurs.""]",,
207,TERMINATION,"[""This Agreement shall terminate immediately upon El Pollo Loco's receipt of Developer's notice to terminate."", 'Franchisor may terminate or modify any rights that Developer may have with respect to protected exclusive rights in the Territory, as granted under Section 1.1 above, effective ten (10) days after delivery of written notice thereof to Developer.']",,
208,ANTI_ASSIGNMENT,"[""The following events shall constitute a default by Developer, which shall result in El Pollo Loco's right to declare the immediate termination of this Agreement.<omitted>b. Any assignment, transfer or sublicense of this Agreement by Developer without the prior written consent of El Pollo Loco."", ""Therefore, the rights, privileges and interests of Developer under this Agreement shall not be assigned, sold, transferred, leased, divided or encumbered, voluntarily or involuntarily, in whole or in part, by operation of law or otherwise without the prior written consent of El Pollo Loco, which consent may be given or withheld as El Pollo Loco's sole and absolute right.""]",,
209,LICENSE_GRANT,"Franchisor hereby grants to Developer, subject to the terms and conditions of this Agreement (if Section 2.20 is applicable add "", and specifically Section 2.20 hereof,"") and as long as Developer shall not be in default of this Agreement or any other development, franchise or other agreement between Developer and Franchisor, (non-exclusive/exclusive) development rights to establish and operate ____ franchised restaurant(s), and to use the El Pollo Loco® System solely in connection therewith, at specific locations to be designated in separate Franchise Agreement(s) (the ""Franchise Agreements"").",,
210,GOVERNING_LAW,"This Agreement shall be governed by and construed and enforced in accordance with the laws of the State of Arizona without regard to conflict of law principles, may not be amended except by a writing signed by both parties, and shall supersede any and all prior discussions and writings between the parties concerning the subject matter.",,
211,ANTI_ASSIGNMENT,"[""Dr. Murray has unique qualifications to provide the services contemplated herein, and shall not assign any of its or his rights or obligations to any other person or entity without EHS's written consent, which may be withheld or granted in EHS's discretion.""]",,
212,GOVERNING_LAW,"This Agreement or the performance, enforcement, breach or termination hereof shall be interpreted, governed by and construed in accordance with the laws of the State of Delaware, United States, excluding any conflicts or choice of law rule or principle that might otherwise refer construction or interpretation of this Agreement to the substantive law of another jurisdiction; provided that all questions concerning (a) inventorship of Patents under this Agreement shall be determined in accordance with Section 7.1.3 and (b) the construction or effect of Patents shall be determined in accordance with the laws of the country or other jurisdiction in which the particular Patent has been filed or granted, as the case may be.",,
213,TERMINATION,"[""AbbVie may terminate this Agreement in its entirety, or on a country or other jurisdiction -by-country or other jurisdiction basis, for any or no reason, upon ninety (90) days' prior written notice to Harpoon.""]",,
214,LIABILITY_CAP,"Except for claims arising out of Articles 4.3 and 7.0, or as may be set forth in a SOW, neither Party will be liable for any consequential damages, lost profits, lost savings, loss of anticipated revenue, or any exemplary, punitive, special or indirect damages, even if advised of their possibility.",,
215,LICENSE_GRANT,"[""iBio hereby grants to CC-Pharming for the term of this Agreement, a nonexclusive, non- assignable, non-sublicensable, limited right and license to use iBio's Technology in order to manufacture, process, prepare, and obtain regulatory approval for the development and production of Product(s) and work to be performed under this Agreement.""]",,
216,TERMINATION,"[""Either party may terminate this Agreement prior to expiration of the Term: (i) upon thirty (30) days prior written notice, or (ii) immediately upon written notice to the other party if: (a) the other party declares or a petition is filed in any court for insolvency or bankruptcy and such petition is not dismissed in thirty (30) days; (b) the other party reorganizes under the relevant bankruptcy act or any similar statute in such party's jurisdiction of incorporation; (c) the other party consents to the appointment of a trustee in bankruptcy or a receiver or similar entity; or (d) the Developer breaches DSS's Technology or Intellectual Property rights contained herein.""]",,
217,LICENSE_GRANT,"Subject to the terms and conditions set forth herein, DSS hereby grants to Developer, and Developer accepts from DSS, for the Term, a non-exclusive, limited, and non-transferable license to install and use the Technology for the sole purpose of developing the Improvements (as defined hereunder) thereto for the benefit of DSS (the ""Technology Development Services License"").",,
218,GOVERNING_LAW,"This Agreement will be governed by and construed in accordance with the laws of the State of New York without regard to its provisions concerning the applicability of the laws of other jurisdictions, and specifically excluding the United Nations Convention on the International Sale of Goods.",,
219,ANTI_ASSIGNMENT,"T&B shall not, during the Term, grant any third party a license to use the Licensed Intellectual Property within the Exclusive Field of Use.', ""Notwithstanding the foregoing, either party may assign this Agreement without the other party's prior written consent in the event of a merger, acquisition, reorganization, change in control, or sale of substantially all of the assets or business of such assigning part"", ""Neither party may assign this Agreement without the other party's prior written consent."", 'Any assignment in conflict with this provision shall be void.",,
220,LIABILITY_CAP,"[""EXCEPT FOR AMOUNTS PAYABLE TO THIRD PARTIES IN CONNECTION WITH CLAIMS SUBJECT TO THE INDEMNIFICATION PROVISIONS OF SECTION 9.1 OR A BREACH OF EITHER PARTY'S OBLIGATIONS UNDER SECTION 5 (CONFIDENTIALITY), NEITHER PARTY WILL, UNDER ANY CIRCUMSTANCES, BE LIABLE TO THE OTHER PARTY FOR ANY LOST PROFITS OR ANY OTHER SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES ARISING OUT OF OR RELATING TO THIS AGREEMENT EVEN IF THE PARTY HAS BEEN NOTIFIED OF THE POSSIBILITY OF SUCH DAMAGES.""]",,
221,LICENSE_GRANT,"T&B hereby grants to LEA, and LEA hereby accepts from T&B, during the Term, the sole and exclusive worldwide right and license in and to the Licensed Intellectual Property, which right and license shall be limited to that which is necessary for LEA to (i) develop and create Educational Materials and (ii) develop, promote and conduct the Business worldwide , unless the license is earlier terminated as provided herein.",,
222,GOVERNING_LAW,"This Agreement, the legal relations between the parties, and any action, whether contractual or non-contractual, instituted by any party with respect to matters arising under or growing out of or in connection with or in respect of this Agreement shall be governed by and construed in accordance with the internal laws of the State of Arizona (U.S.A.), excluding any choice of law rules that may direct the application of the laws of another jurisdiction, and except that questions affecting the construction and effect of any Patent shall be determined by the law of the country in which the Patent has been granted.",,
223,TERMINATION,Either Party may terminate this Agreement for any reason upon providing 180 days prior written notice to the other Party prior to the expiration of the then-current term or unless sooner terminated in accordance with the terms of this Agreement.,,
224,ANTI_ASSIGNMENT,"Neither this Agreement nor any rights or obligations hereunder shall be transferred or assigned by either Party without the written consent of the other Party, which consent shall not be unreasonably withheld; provided, however, that Liquidmetal shall have the right, without the prior written consent of Eutectix, to assign its warranty rights and other rights hereunder with respect to specific Liquidmetal Products to the Customers of such Liquidmetal Products.",,
225,LIABILITY_CAP,"NEITHER PARTY SHALL BE LIABLE TO OTHER PARTY FOR ANY LOST PROFITS, LOST REVENUES, OR ANY OTHER INCIDENTAL, INDIRECT, PUNITIVE, SPECIAL OR CONSEQUENTIAL DAMAGES WHATSOEVER ARISING OUT OF THIS AGREEMENT OR ANY ORDER, OR OUT OF THE PERFORMANCE OR BREACH OF THIS AGREEMENT OR ANY ORDER, EVEN IF THE PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",,
226,GOVERNING_LAW,"This Agreement shall be governed by and construed in accordance with the substantive laws of the Netherlands, excluding its rules of conflicts of law and the United Nations Convention on Contracts for the International Sale of Goods dated 11 April 1980 (CISG), as amended from time to time.",,
227,ANTI_ASSIGNMENT,"Licensee shall not be entitled to assign the License or any of its rights under this Agreement or to grant any sub-licenses.', 'This Agreement may not be assigned or otherwise transferred, nor may any right or obligations hereunder be assigned or transferred, by either Party without the prior written consent of the other Party; provided, however, that Licensor may, without such consent, assign this Agreement and its rights and obligations hereunder, in whole or in part, to an Affiliate or in connection with the transfer or sale of all or substantially all of its assets related to the Licensed Product or the business relating thereto, or in the event of its merger or consolidation or change in control or similar transaction.",,
228,LIABILITY_CAP,"Either Party shall only be liable for direct losses incurred by the other Party as a direct consequence of a negligent or intentional breach of this Agreement by such liable Party, and shall not be liable for any punitive or indirect damages, losses caused by business interruptions, loss of revenues, loss of profit, damages and loss of goodwill, or any reputational damages, and both Parties waive any claims to such losses.', 'In addition, neither Party shall be liable for any claim under this Agreement which is capable of remedy, unless and until the other Party has given such Party written notice containing full details of the breach and such Party has failed to remedy the breach within sixty (60) days of receipt of the notice.",,
229,GOVERNING_LAW,"The construction and validity of this Agreement and the provisions hereof, and the rights and obligations of the Parties hereunder, will be governed by the internal laws of the State of Delaware, USA, and, to the extent applicable to Patents and Trademarks, the applicable federal laws of the USA, in each instance without regard to conflict of laws principles.",,
230,GOVERNING_LAW,"This Letter shall be governed by and construed in accordance with the laws of the State of New York without reference to any rules of conflict of laws.', 'This Agreement shall be governed by and construed in accordance with the laws of the State of New York without reference to any rules of conflict of laws.",,
231,TERMINATION,"Sanofi may terminate this Agreement (A) in its entirety by providing [***] written notice of termination to RevMed or (B) on a country-by-country or Product-by-Product basis by providing [***] written notice of termination to RevMed; provided that if Sanofi desires to terminate this Agreement under this Section 12.2(a)(i)B only with respect to the U.S. (for all Products or one or more Products), Sanofi shall provide [***] written notice of termination to RevMed.",,
232,LIABILITY_CAP,"NEITHER PARTY SHALL BE LIABLE TO THE OTHER FOR ANY SPECIAL, CONSEQUENTIAL, INCIDENTAL, PUNITIVE, OR INDIRECT DAMAGES OR LOST PROFITS ARISING FROM OR RELATING TO ANY BREACH OF THIS AGREEMENT, REGARDLESS OF ANY NOTICE OF THE POSSIBILITY OF SUCH DAMAGES.",,
233,ANTI_ASSIGNMENT,"The Agreement shall not be assigned and is not assignable or delegable by either Party without the written consent of the other, which consent shall not be unreasonably withheld; provided, that Sekisui and Qualigen each may assign this Agreement without the consent of the other to a successor in connection with the merger, consolidation or sale of such Party or of all or substantially all of its assets or the portion of its business to which this Agreement relates.",,
234,LICENSE_GRANT,"During the Term, Sekisui is hereby permitted to use the Qualigen name and any Qualigen content (including the content of any existing sales collateral and marketing materials) in any sales collateral, marketing materials or other communications used in connection with the marketing and sales of the Product with the prior written consent of Qualigen, which consent shall not be reasonably withheld or delayed.",,
235,GOVERNING_LAW,"[""This Agreement and any dispute or claim arising out of or in connection with it or its subject matter shall be governed by, and construed in accordance with, the laws of the People's Republic of China (without regard to its conflicts of laws rules that would mandate the application of the laws of another jurisdiction)."", 'This Termination Agreement shall be governed by the laws of the PRC, without regard to conflicts of law principles.']",,
236,GOVERNING_LAW,This Agreement will for all purposes be governed by and interpreted in accordance with the laws of the State of California without giving effect to any conflict of laws principles that require the application of the laws of a different state.,,
237,ANTI_ASSIGNMENT,"Without the prior written consent of the other party, neither party shall assign or transfer any of its rights or obligations hereunder, in whole or in part, to any third party, and any purported assignment without such prior written consent shall be null and void and of no force and effect; except that notice, but no consent shall be required for such assignment or transfer in connection with an internal reorganization or sale of the transferring party, including by merger or other business combination, or a sale of substantially all of the assets of the transferring party.",,
238,LIABILITY_CAP,"EXCEPT IN CASES OF GROSS NEGLIGENCE, WILLFUL MISCONDUCT OR FRAUD, INDEMNIFICATION CLAIMS UNDER SECTION 5 OR BREACHES OF SECTION 2 (TRADEMARKS), 8 (CONFIDENTIALITY), OR 9 (NO AGENCY RELATIONSHIP), IN NO EVENT SHALL EITHER PARTY OR ITS OFFICERS, DIRECTORS, OR EMPLOYEES BE LIABLE TO THE OTHER PARTY IN CONNECTION WITH THE SUBJECT MATTER HEREOF, FOR ANY SPECIAL, INDIRECT, CONSEQUENTIAL OR PUNITIVE DAMAGES OF ANY KIND, LOST PROFITS OR LOST REVENUE, WHETHER ARISING IN CONTRACT, TORT, NEGLIGENCE, STATUTE, OR OTHERWISE, EVEN IF ADVISED OF THE POSSIBILITY THEREOF.",,
239,ANTI_ASSIGNMENT,"[""This Agreement is binding upon each party's assigns, transferees and successors; provided that no party may assign or otherwise transfer, by operation of law or otherwise, this Agreement in whole or in part, without the other party's prior written consent.""]",,
240,LIABILITY_CAP,"['NO PARTY WILL BE LIABLE TO THE OTHER PARTY IN TORT, CONTRACT OR UNDER ANY OTHER LEGAL THEORY FOR ANY CONSEQUENTIAL, INDIRECT, INCIDENTAL, PUNITIVE OR SPECIAL LOSS OR DAMAGES ARISING OUT OF THIS AGREEMENT, EVEN IF APPRISED OF THE LIKELIHOOD OF SUCH DAMAGES OCCURRING', ""IN NO EVENT WILL IMNTV'S LIABILITY TO DISTRIBUTOR UNDER THIS AGREEMENT EXCEED THE AMOUNT ACTUALLY DUE TO IMNTV HEREIN.""]",,
241,LICENSE_GRANT,"[""During the Term, for the activities described in this Agreement, IMNTV hereby grants Distributor non-exclusive rights and licenses necessary within the Territory to: (a) copy, store digitally, host and stream the Programming; (b) publicly perform, publicly display, electronically transmit, distribute and broadcast the Programming; (c) promote the Programming and use IMNTV Marks for Distributor's promotion of the Programming as activities described in Section 2.4 above; (d) archive the Programming on Distributor's servers; (e) encode, copy, and create continuous Programming excerpts of up to sixty (60) seconds and transmit, publicly perform, distribute, and redistribute such excerpts to end users via the Distributor's Portal for marketing purposes only(f) deep link to the Programming.""]",,
242,GOVERNING_LAW,"This Agreement shall be governed by and construed in all respects in accordance with the laws of the State of New York, without giving effect to any conflicts of laws principles.', 'The merits of the dispute shall be resolved in accordance with the laws of the State of New York, without reference to its choice of law rules.",,
243,LIABILITY_CAP,"EXCEPT FOR THE ABOVE INDEMNIFICATION OBLIGATIONS AND FOR BREACHES OF SECTION 14, NEITHER PARTY SHALL BE LIABLE TO THE OTHER FOR ANY INCIDENTAL, CONSEQUENTIAL, SPECIAL OR PUNITIVE DAMAGES ARISING OUT OF THIS AGREEMENT (INCLUDING, BUT NOT LIMITED TO, LOSS OF PROFITS), WHETHER IN AN ACTION OR ARISING OUT OF BREACH OF CONTRACT, TORT OR ANY OTHER CAUSE OF ACTION EVEN IF SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",,
244,GOVERNING_LAW,"This Agreement is to be governed by and construed in accordance with the Laws of the State of California applicable to contracts made and to be performed wholly within such State, and without regard to the conflicts of laws principles thereof.",,
245,LIABILITY_CAP,"IN NO EVENT WILL CONTENT PROVIDER BE LIABLE TO COMPANY NOR WILL COMPANY BE LIABLE TO CONTENT PROVIDER FOR ANY SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES, WHETHER BASED ON BREACH OF CONTRACT, TORT (INCLUDING NEGLIGENCE) OR OTHERWISE, WHETHER OR NOT THAT PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGE. TH LIABILITY OF CONTENT PROVIDER FOR DAMAGES HEREUNDER, WHETHER IN CONTRACT, TORT<omitted>OR ANY OTHER LEGAL THEORY, IS LIMITED TO, AND SHALL NOT EXCEED $31,200.00.",,
